CustomerID,FullName,Email,PhoneNumber,Address,CreditScore,Income,AccountBalance,LoanAmount,LoanTerm,LoanPurpose,LoanStatus,CreditUtilization
ce23ad7a-f867-4139-88a7-a794ce8be92b,William Sullivan,adrianrobinson@example.com,413-617-3957x49208,"0787 Kathleen Point
Joannmouth, ND 07800",676,508142,167580,5638,14,Auto Loan,Rejected,25
db4d7943-bb60-409f-b095-3feb78b2bfa1,Robert Johnson,fsmith@example.net,(426)239-2467x095,"Unit 0684 Box 4107
DPO AP 75850",606,608186,448097,3412,15,Auto Loan,Approved,68
f9a72f72-acc9-4755-8cf4-b0c6d61dfc96,Pamela Scott,janetdavis@example.net,+1-570-444-5753x2999,"71890 Julie Groves
Griffinshire, GU 48700",656,452823,722125,4818,10,Business Loan,Rejected,33
5c4bdf1e-1034-453d-b16e-40489fc7c140,Sara Wallace,nicole46@example.org,881.769.9313,"141 April Shoal
Amybury, VI 28713",786,114751,485843,4999,29,Student Loan,Approved,50
d5582f64-d52e-443f-9ec1-6d1c8c19c667,Carolyn Giles,james70@example.net,+1-704-814-7903x235,"753 Williams Neck Suite 286
New Johnport, IL 24878",719,696051,190757,5314,19,Auto Loan,Pending,9
00145dac-a57a-44ae-b15a-1023a9390b0f,Joanne Vargas,vbrown@example.net,001-325-497-7687x3300,"383 Reyes Village
Ginastad, FL 91923",546,70842,451141,7306,16,Business Loan,Approved,2
28878c0e-24bd-466a-b100-7c2b05b67227,Steven Cook,danielsclaire@example.org,267-721-3494x19234,"1020 Hunter Rapids
Richardmouth, TN 47292",485,347596,94040,4623,10,Home Purchase,Pending,34
754a3f67-5c74-499a-86dc-6ba2c8b20c9d,Stephen Fisher,ericcoleman@example.org,(930)806-3294x68259,"917 Robert View
North Jennifer, FL 15965",593,482300,161559,6934,29,Student Loan,Rejected,76
7e226cff-1dc6-4d17-a74e-112433d0c988,Candace Bowman,agarcia@example.com,419.411.0163,"607 Boyd Canyon Apt. 838
Laurenmouth, OK 61305",349,281397,973219,3733,10,Home Purchase,Rejected,90
88645947-60c8-4856-ac32-a9af7ae206b6,Gerald Payne,james45@example.net,6612435726,"1374 Ewing Tunnel
West Sheriton, DE 89310",361,702507,919660,5069,2,Auto Loan,Rejected,2
fa74c86d-6863-4f7e-a416-d46138f515ab,James Maldonado,matthewwilliams@example.org,+1-729-480-5355,"5135 Gutierrez Summit Suite 359
Gilesland, KS 80192",450,176299,848085,3336,22,Auto Loan,Rejected,78
6401770e-c5cb-402a-bacf-dd7c2ca001ec,Cindy Pugh,dennisnovak@example.org,549-603-5924x8186,"2413 Bryan Courts
West Leslie, NH 73444",367,789038,422489,6556,29,Business Loan,Rejected,0
a792c1bb-f73c-43d9-9acb-10a5646375f1,Erik Hoover,brian56@example.net,+1-296-522-8744x14493,"3229 Ashley Creek
Taylortown, VA 40954",779,643124,157890,4498,16,Home Purchase,Rejected,58
a4f45dbc-27bd-40af-94d3-558fb29a1f1b,Janet Jackson,mbecker@example.net,+1-989-267-1365,"59194 Weaver Canyon Apt. 437
Kelseyshire, VT 25284",820,347402,488721,7578,12,Student Loan,Approved,59
90ac4fbf-fc7a-4b0c-8d87-d82d45a409c3,Sara Barrett,douglasmcpherson@example.org,+1-577-845-7765x4573,"40753 Tammy Village Apt. 881
Escobarport, MI 67831",641,366237,578515,1247,29,Student Loan,Approved,11
ded815b3-f02a-4cd7-a96d-a1d2cd9a984e,Taylor Wright,barbarathomas@example.com,516-714-8959x5558,"80130 Aaron Throughway Apt. 471
Karenburgh, MA 36472",652,799946,806904,1202,20,Auto Loan,Pending,26
9329ab5b-8f50-4294-96d5-82af41ca84c0,Joshua Jordan,jason51@example.com,+1-654-896-7814,"4285 Vanessa Branch
Veronicastad, RI 40087",833,682470,979858,9067,11,Student Loan,Pending,99
